as_of_date,etf_ticker,constituent_ticker,constituent_name,isin,sedol,shares_held,market_value,weight_pct,currency,sector,country,source
2026-06-16,SILJ,RGLD,Royal Gold Inc,US7802871084,,191732.0,41322080.64,1.08,USD,,,web_csv
2026-06-16,SILJ,SA,Seabridge Gold Inc,CA8119271028,,4215977.0,128039221.49,3.35,USD,,,web_csv
2026-06-16,SILJ,SCZ CN,Santacruz Silver Mining Ltd,,,1807935.0,13726566.5,0.36,USD,,,web_csv
2026-06-16,SILJ,SKE CN,Skeena Resources Ltd,CA83056P7157,,2813001.0,84483632.31,2.21,USD,,,web_csv
2026-06-16,SILJ,SM CN,Sierra Madre Gold And Silver Ltd,,,2055342.0,2765067.06,0.07,USD,,,web_csv
2026-06-16,SILJ,SOSI1 FH,Sotkamo Silver AB,,,14256488.0,7794228.56,0.2,USD,,,web_csv
2026-06-16,SILJ,SSRM,SSR Mining Inc,CA7847301032,,5808399.0,168095067.06,4.4,USD,,,web_csv
2026-06-16,SILJ,SVL AU,Silver Mines Ltd,,,75227727.0,7996541.11,0.21,USD,,,web_csv
2026-06-16,SILJ,SVM,Silvercorp Metals Inc,CA82835P1036,,10682282.0,130110194.76,3.41,USD,,,web_csv
2026-06-16,SILJ,SVRS CN,Silver Storm Mining Ltd,,,17340155.0,6452381.55,0.17,USD,,,web_csv
2026-06-16,SILJ,TFPM,Triple Flag Precious Metals Corp,CA89679M1041,,2937276.0,90291864.24,2.36,USD,,,web_csv
2026-06-16,SILJ,TLG CN,Troilus Mining Corp,,,13315644.0,18771203.75,0.49,USD,,,web_csv
2026-06-16,SILJ,TMQ,Trilogy Metals Inc,CA89621C1059,,8344403.0,33794832.15,0.88,USD,,,web_csv
2026-06-16,SILJ,TUD CN,Tudor Gold Corp,,,6520886.0,4199647.5,0.11,USD,,,web_csv
2026-06-16,SILJ,TUO CN,Teuton Resources Corp,,,46168.0,54511.57,0.0,USD,,,web_csv
2026-06-16,SILJ,TV CN,Trevali Mining Corp,,,967999.0,0.0,0.0,USD,,,web_csv
2026-06-16,SILJ,USA CN,Americas Gold & Silver Corp,CA03062D8035,,14949325.0,86115471.93,2.25,USD,,,web_csv
2026-06-16,SILJ,VGC CN,Valor Gold Corp,CA9199211066,,2154301.559657,5719316.46,0.15,USD,,,web_csv
2026-06-16,SILJ,VOLCABC1 PE,Volcan Cia Minera SAA,,,14427558.0,3762242.32,0.1,USD,,,web_csv
2026-06-16,SILJ,VZLA,Vizsla Silver Corp,CA92859G6085,,25584447.0,93383231.55,2.44,USD,,,web_csv
2026-06-16,SILJ,WAM CN,Alaska Silver Corp,,,1188327.0,620758.32,0.02,USD,,,web_csv
